candidate_id,education_school,education_speciality,education_level,education_degree,experience_years,language,language_level,technical_skills,soft_skills,current_position,location,location_available,certifications_title,hobbies,volunteer_activities,school_projects,availability
29149998,RASMUSSEN COLLEGE,"['Human resources', 'Organizational Leadership']",Associates,Associates of Science,9.0,[],[],"['MS Office Suite', 'Oracle', 'QuickBooks', 'Peachtree', 'BrassRing', 'ADP', 'Call center', 'Recruitment', 'Human Resource Management', 'Human Resources', 'Benefits', 'Employee Relations', 'Payroll processing', 'Office Management', 'Administration', 'Accounting', 'Spreadsheets', 'Filing', 'Data entry', 'Drug testing', 'Background checks', 'New hire training', 'Onboarding', 'Exit interviews', 'Compensation', 'AR/AP', 'Billing', 'Credit', 'Invoicing', 'Purchase orders', 'Expense reports', 'Collection', 'Vendor management', 'Database management', 'Timecard management', 'Travel coordination', 'Training facilitation']","['Communication', 'Analytical', 'Interpersonal', 'Teamwork', 'Detail-oriented', 'Leadership', 'Customer service', 'Problem-solving', 'Time management', 'Initiative', 'Prioritization', 'Confidentiality']",HR Assistant,"City, State",[],['PHR'],[],"['Mentoring kids and young adults', 'Volunteer work with SHRM', 'Score seminar on Human Resources']",[],1 month notice
11480899,"['National Institute of Development Administration (NIDA)', 'Chulalongkorn University']","['Public Administration', 'Education', 'English']",Master's,Master of Public Administration,14.0,"['English', 'Thai']","['Advanced', 'Native']","['HR Management', 'Compensation & Benefits', 'Performance Management', 'Recruitment', 'Training & Development', 'Regulatory Compliance', 'Payroll', 'MS Office']","['Strategic Planning', 'People Management', 'Team-oriented Leadership', 'Conflict Management', 'Communication', 'Interpersonal Skills', 'Decision Making']",HR Manager,"City, State, Thailand",,"['PM Certification', 'APM Certification', 'ISO/TS 16949', 'ISO 14001', 'Safety Supervisor Level']",,,,Current
23155093,"St. Petersburg College, Arthur Community College","['Management & Organizational Leadership', 'Management', 'Organizational Leadership', 'Arts']","Bachelor's, Associate's","Bachelor of Applied Science, Associate of Arts",15.0,"['Spanish', 'French']",['Working Knowledge'],"['Microsoft Office Suite (Word, Excel, Access, PowerPoint, Publisher, Outlook, Visio)', 'Lotus Notes']","['Leadership', 'Teamwork', 'Communication', 'Interpersonal Skills', 'Analytical Thinking', 'Problem-Solving', 'Work Ethic', 'Professionalism', 'Planning', 'Organization', 'Time Management', 'Mentoring', 'Coaching', 'Project Management']",HR Manager,"City, State (Multiple locations mentioned in the CV)",[],[],[],[],[],"Currently employed, open to new opportunities"
11763983,Walsh College,"['Human Resources', 'MBA', 'Bachelors in HR']",Graduate,"MBA, Bachelor of Arts",12.0,[],[],"['Word', 'Excel', 'PowerPoint', 'Darwin', 'Act', 'Attendance Advisor', 'ERP/AS400', 'HRIS', 'ADP Payroll', 'Paycor', 'Internet Explorer', 'Outlook', 'Kronos', 'IFAS', 'PeopleSoft', 'Epicor', 'Winpak', 'E2', 'WASP', 'ACA', 'AS400', 'benefits administration', 'consultation', 'labor relations', 'organization development', 'payroll', 'personnel policies', 'recruitment', 'SOX', 'employee handbook']","['Communication', 'Results-driven', 'People-oriented', 'Problem-solving', 'Teamwork', 'Leadership']",HR Generalist,"City, State, USA","['City, State, USA']",['Certified Nage No Kata Instructor'],['Judo'],"['Michigan Judo Development Association Board Member', 'Volunteer Judo Instructor', 'United States Olympic Training Center Resident']",[],Not specified
27490876,"['University of Phoenix', 'Old Dominion University', 'VCU School of Business', 'Grace E. Harris Leadership Institute']","['Human Resources Management', 'Secondary Education']",Master's,MBA in Human Resources Management,17.0,[],[],"['HRIS', 'Recruitment', 'Employee Relations', 'Investigations', 'Performance Management', 'Compliance', 'Benefits Administration', 'Compensation', 'Applicant Screening', 'Background Checks', 'Drug Testing', 'Interviewing', 'Training and Development', 'Event Planning', 'Policy & Procedure Administration', 'Unemployment Claims', 'EEO Inquiries', 'Reference Checks', 'New Hire Orientation', 'Full-Cycle Recruitment']","['Team Building', 'Leadership', 'Communication', 'Problem-Solving', 'Organization', 'Conflict Resolution']",HR Coordinator,"Richmond, Virginia, USA","['Richmond', 'Virginia', 'USA']","['SHRM Class Certificate', 'Total Quality Management Training']",[],[],[],Immediate
32977530,CTU Online,"['Human Resource Management', 'Business Management']",Bachelor's,BSBA,16.0,[],[],"['SAP', 'Solomon', 'Microsoft Suite', 'Quickbooks', 'ERP software', 'Excel Spreadsheets']","['Customer Service', 'Administration', 'Training', 'Scheduling', 'Research', 'Multitasking', 'Communication', 'Organizational Skills', 'Active Listening', 'Energetic Work Attitude', 'Teamwork', 'Policy Adherence']",HR Clerk,"City, State, USA",[],[],[],[],['Resident Retention'],Not Mentioned
93002334,University of Phoenix,['Psychology'],Bachelor's,Bachelor of Psychology,8.0,[],[],"['MS Excel', 'Word', 'Power Point', 'Share Point', 'Taleo', 'Autonomy', 'One Note', 'SAP', 'Visio', 'Outlook', 'Siebel', 'TALX', 'Survey Monkey', 'HR Systems', 'HRIS']","['Project Management', 'Process Improvement', 'Leadership', 'Teamwork', 'Communication', 'Problem-Solving', 'Analytical Skills', 'Change Management']",HR Analyst,,[],"['Prosci Change Management Certification', 'Herrmann Brain Dominance Instrument', 'Interview Skills Selection and Development']",[],[],[],Not Mentioned
24184357,,[],,,,[],[],[],[],,,[],[],[],[],[],
73077810,Fairleigh Dickinson University,"['Administrative Science', 'Economics', 'Liberal Arts']",Masters,"Master of Administrative Science, Bachelor of Science, Associate of Arts",10.0,[],[],"['ADP', 'People fluent', 'Microsoft Office', 'HRIS applications', 'QuickBooks', 'Recruitment software', 'HR databases']","['Communication', 'Negotiation', 'Conflict resolution', 'Mediation', 'Record management', 'Interviewing', 'Performance management', 'Employee relations', 'Manager coaching', 'Payroll management', 'Event management', 'Employee handbook development', 'Alternative Dispute Resolution (ADR)', 'Customer service', 'Mentoring', 'Coaching', 'Leadership', 'Teamwork']",HR Generalist/Recruiter,"City, State",[],[],[],[],[],Not specified
13879043,"KIMS University, BNDC University","['Human Resource Management', 'Commerce', 'Business Administration']",Master's,"MBA, Masters of Business Administration",7.0,[],[],"['HRIS', 'SAP HR', 'Performance Management Systems', 'Recruitment Software', 'HR Databases', 'Payroll Systems', 'HR Analytics', 'Microsoft Office Suite']","['Team Leadership', 'Communication', 'Negotiation', 'Conflict Resolution', 'Mentoring', 'Organizational Development', 'Strategic Planning', 'Employee Engagement', 'Problem-Solving']",HR Consultant,,[],"['Mentor Me Program Lead Certification', 'Team Spot Award']","['Computers', 'Academic Research']",[],"['Employee Appraisal Process Improvement', 'Career Path Definition', 'High Performer Program', 'Reward and Recognition Optimization']",Not specified
30163002,North Carolina Agricultural & Technical State University,['Psychology'],Bachelor's,Bachelor of Arts,4.0,[],[],"['Microsoft Office', 'Excel', 'PowerPoint', 'Filing Systems', 'Database Management', 'Business Development']","['Self-directed', 'Meticulous attention to detail', 'Strong interpersonal skills', 'Results-oriented', 'Keen understanding of grammar', 'Strong problem-solving', 'Teamwork', 'Confidentiality', 'Organization', 'Time Management', 'Customer Service']",HR Generalist,"City, State, United States",[],[],[],[],[],Immediate
18827609,North Carolina State University,"['Business Administration', 'Human Resource Management', 'Psychology']",Bachelor's,Bachelor of Science,3.0,[],[],"['HRIS', 'Workday', 'Taleo', 'Handshake', 'MS Excel', 'Microsoft Office Suite', 'ADP', 'Social Media Marketing']","['Recruiting', 'Onboarding', 'Project Management', 'Event Planning', 'Employee Relations', 'Teamwork', 'Training and Development', 'Public Speaking', 'Leadership', 'Strategy', 'Research', 'Oral Communication', 'Written Communication', 'Budget Management', 'Branding', 'Problem-Solving', 'Interpersonal Skills']",University Programs Lead,"City, State, USA","['San Francisco Bay Area, California, USA']",[],[],"['Volunteer for Prevent Blindness NC', 'Director of New Members for Delta Gamma Sorority']","['Company Hackathon', 'Leadership Sustainment Webinar', 'Product Manager Career Framework Deployment', 'Employee Onboarding 2.0 Development Plan']",Immediate
25676643,"St. Augustine's University, St. Leo University","['Broadcast and Print Journalism', 'Human Resources Management']","Bachelor's, Master's","Bachelor of Arts, Master of Business Administration",9.0,[],[],"['HR Advisory Services', 'Strategic Recruitment Planning', 'HR Policies & Procedures', 'Staff Recruitment & Retention', 'HR Program/Project Management', 'Orientation & Onboarding', 'Performance Management', 'Delegated Examining', 'Classification and Position Management', 'Special Emphasis Programs', 'MS Office (Word, Excel, PowerPoint, Access, Outlook)']","['Interpersonal Skills', 'Customer Service', 'Project Management', 'Communication', 'Teamwork', 'Leadership', 'Coaching', 'Recruiting and Selection', 'Talent Assessments', 'Social Media Management']",HR Specialist,"City, State",[],[],[],[],[],Not specified
12786012,"['Keller Graduate School of Management', 'University of North Dakota']","['Human Resource Management', 'Communications']",Master's and Bachelor's,MBA and B.A.,10.0,[],[],"['HRIS applications', 'Compensation administration', 'Personnel records management', 'Training development', 'Staffing and recruiting', 'Compensation/payroll', 'Employment law', 'HR policies and procedures', 'Performance management', 'Employee relations', 'Benefits administration', 'Safety and wellness programs', 'Compensation management', 'Conflict resolution', 'HR audits', 'New hire orientation', 'Interviewing', 'HR software implementation', 'Process improvement']","['Interpersonal skills', 'Coaching', 'Communication', 'Teamwork', 'Leadership', 'Problem-solving', 'Project management', 'Confidentiality']",HR Coordinator,"City, State",[],"['Certified Professional Human Resource Management (CPHRM)', 'Certified Human Resources Professional (CHRP)']",[],[],[],"Currently employed, notice period may apply"
87968870,"['Sam Houston State University', 'North Harris Community College']","['Human Resource Management', 'International Business', 'Human Resources', 'Business Administration', 'Liberal Arts']",Bachelor's and Associate's,BBA and Associate of Science,11.0,English and Spanish (Bilingual),"['Advanced', 'Native']","['HRIS', 'MS Office', 'Sharepoint', 'ADP', 'ADA']","['Communication', 'Teamwork', 'Problem-Solving', 'Leadership', 'Organization']",HR Generalist,"City, State, USA","['City, State, USA']",[],[],[],[],Immediate
46258701,DePaul University,['Human Resources'],Bachelor's,BA,11.0,[],[],"['Microsoft Sharepoint', 'SAP', 'Sharepoint', 'Excel', 'Groupwise', 'Incoming Calls', 'Ms Office', 'Ms Outlook', 'Outlook', 'Phone System', 'Receptionist', 'Recruiter', 'Sterling Inforsystems', 'Orange Tree Employment Services', 'Kenexa - IBM Products', 'Ultipro', 'New Hires', 'Sarbanes-Oxley (SOX)', 'Scheduling', 'Access', 'Applicant Tracking System', 'Best Practices', 'Database', 'Databases', 'Employee Performance', 'Entry Level', 'Filing', 'Leads', 'Performance Review']","['Exceptional interpersonal skills', 'Innovative', 'Organized', 'Exceptional communicator', 'People-oriented']",HR Coordinator,"City, State",[],[],[],[],[],Not mentioned
14225422,Unknown,"['Industrial Psychology', 'Psychology']",Master's,"Master of Science, Bachelor of Arts",38.0,[],[],"['ADP Payroll', 'Ceridian HRIS', 'Paychex', 'Excel', 'Word', 'Powerpoint', 'Payroll Systems', 'HRIS', 'HR Metrics', 'Safety Program Implementation', 'Wellness Program Coordination', 'Recruiting', 'Benefits Administration', 'Compensation and Benefits', 'Employee Relations', 'Performance Management', 'Policy Development', 'Union Relations', 'Contract Negotiations', 'HR Reporting', 'Data Management', 'Affirmative Action Planning', 'EEO Reporting', 'Salary Administration', 'Benefits Analysis', 'Retirement Plan Administration', 'COBRA Administration', 'HR Project Management']","['Communication', 'Teamwork', 'Leadership', 'Problem-Solving', 'Interpersonal Skills', 'Confidentiality', 'Professionalism', 'Relationship Building', 'Coaching', 'Training Facilitation', 'Organization', 'Attention to Detail', 'Time Management']",HR Manager/Generalist,"City, State, USA","['City, State, USA']",[],[],[],[],Not specified
29297973,"Ashford University, Wisconsin Lutheran College","['Organizational Management', 'Human Resources Management', 'Art']","Master's, Bachelor's","Master of Arts, Bachelor of Arts",12.0,[],[],"['Kronos system', 'Ulti-Pro payroll system', 'Ceridian system', 'Payroll', 'HR Law', 'Payroll Law', 'ADA', 'EEO', 'ADA hiring guidelines', 'OSHA 10-hr General Industry Safety and Health', 'First Aid', 'CPR', 'Safety', 'Quality Assurance']","['communication', 'confidentiality', 'sense of urgency', 'commitment', 'employee relations', 'management-employee relations', 'onboarding', 'staffing', 'recruiting', 'training', 'coaching', 'counseling', 'dispute resolution', 'team leadership', 'scheduling', 'event planning', 'customer service', 'financial record-keeping', 'MDS assessments', 'performance reviews', 'supervisory duties']",HR Representative,"City, State, USA",[],"['OSHA 10-hr General Industry Safety and Health', 'First Aid & CPR', 'HR Law Seminar', 'Payroll Law Seminar']",[],[],"['The Brickhouse Grill', 'Standardized Interview Questions and Training Manual']",Current
18334783,University of New Mexico,"['Business', 'Finance']",Bachelor's,BA,20.0,[],[],"['Project Management', 'Human Resources', 'Operations Management', 'Office Administration', 'Document Control', 'Meeting Planning', 'Small Business Development', 'Leadership', 'Communication', 'Employee Relations', 'Staff Development', 'Total Quality Management', 'HR Handbook Creation', 'Hiring Process', 'Office Setup', 'Financial Data Preparation', 'Bid Proposal Preparation', 'Process Development', 'Financial Analysis', 'Contract Management', 'Invoice Review', 'Master Document Control', 'Liaison', 'Site Administration', 'Wind Power Projects', 'Office Management', 'Budget Management', 'Team Management']","['Self-Motivated', 'Team Player', 'Mentoring', 'Training', 'Customer Relationship Management', 'Quality Assurance', 'Liaison', 'Communication', 'Leadership']",HR Director/Administrator,"Houston, Texas, USA",[],[],"['Volunteering at Food Bank', 'Member of Chamber of Commerce']","['Food Bank', 'Chamber of Commerce']",[],Not specified
19717385,"['Alliant International University', 'Avinashilingam Institute for Home Science and Higher Education for Women', 'Amrita Viswa Vidhyapeetham']","['Organisational Psychology', 'Counselling Psychology', 'Mass Communication']","[""Master's"", ""Master's"", ""Bachelor's""]","['Master of Arts', 'Master of Science', 'Bachelor of Arts']",6.0,[],[],"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word', 'SPSS']","['Communication', 'Research', 'Multi-tasking', 'Time Management', 'Counselling', 'Management', 'Mentoring', 'Stress Management', 'Note-taking', 'Administrative Assistance', 'Data Entry', 'Organisational Skills']",HR Intern,"City, State, United States","['City, State, United States', 'City, State, India']","['Foundation Course on Education of Children with Learning Disabilities', 'TA-101. Introduction to Transactional Analysis', ""Hypnotism and it's Application in practice"", 'Bio Ethics in Research']",[],"['San Diego Humane Society', 'Humane Animal Society', 'Puppy Palace']","['Autosuggestion as a mediator in weight management in female college students', 'Mindfulness and Burnout of Teachers in StateBoard and Matriculation schools', 'Relation between Indian Zodiac and Personality types(MBTI)']",Immediate
49937469,Lourdes College,"['Organizational Leadership Management', 'Human Resource Management']",Bachelor's,Bachelor of Arts,11.0,[],[],"['Excel', 'HR systems', 'Employee Handbook development', 'Event management', 'Interviewing', 'Employee Relations', 'Manager Coaching', 'Recruiting', 'Staffing', 'Record Maintenance', 'Compliance', 'Public Speaking']","['Communication', 'Critical Thinking', 'Problem-Solving', 'Leadership', 'Organizational Skills', 'Attention to Detail', 'Customer Service', 'Coaching', 'Team Management', 'Policy Development', 'Training']",HR Assistant,"City, State",[],[],"['Swimming', 'Bike Riding', 'Camping', 'Crocheting', 'Crafts', 'Family Activities']",[],[],1 month notice
18316239,Ecotect Institute,['Business Administration'],Associate's Degree,Associate of Applied Science,15.0,[],[],"['HRIS Technologies', 'MS Office (Word, Excel, PowerPoint, Access, Outlook)', 'HRIS applications (UltiPro, PeopleSoft Enterprise Human Resources, ADP)', 'ABC, ADP, ADR, benefits, Benefits Administration, budget, coaching, US Army databases, driving, Employee Relations, training employees, special events, senior management, hiring, home healthcare, HR, insurance, legal, managing, meetings, Access, Excel, MS Office, office, Outlook, PowerPoint, Word, Enterprise, Organizational Development, PeopleSoft, Performance Management, personnel, policies, processes, Project Management, Recruitment, recruiting, sales, sound, Structured, supervisor, teamwork, Video, voice and data, workshops']","['Project Management', 'Employee Relations', 'Training & Development', 'Performance Management', 'Organizational Development', 'Teamwork', 'Conflict Resolution', 'Negotiation', 'Communication', 'Leadership', 'Coaching', 'Recruitment', 'Onboarding', 'Employee Engagement', 'Problem-Solving']",HR Generalist,"City, State",['Germany'],['Certified Professional in Human Resources (PHR)'],[],[],[],Not specified
17855844,"['University of Phoenix', 'University of Maryland']",['Communications'],Bachelor's,B.S. in Communications,12.0,[],[],"['HRIS', 'SAP', 'Oracle', 'Ceridian', 'KRONOS', 'MS Office Suite', 'Adobe Illustrator', 'HR Information Systems', 'Performance Management', 'Employee Relations', 'Training & Development', 'Change Management', 'Organization Development', 'Strategic Planning', 'Talent Management']","['Leadership', 'Team Management', 'Strategic Decision Making', 'Problem Solving', 'Communication', 'Coaching', 'Consulting', 'Relationship Building', 'Training Facilitation', 'Project Management', 'Process Improvement', 'Policy Compliance', 'Recruitment', 'Employee Engagement', 'Change Management', 'Organizational Development']",HR Manager,"Dallas, TX, USA","['Dallas, TX, USA', 'Northeast and Southeast regions']","['PHR Certification', 'Career Development Facilitator Certification']","['Writing', 'Christian Ministry']","['Society of Human Resource Management (SHRM) Member', 'Freelance Writer for Grace Magazine']",[],Immediate
57667857,,[],,,,[],[],[],[],,,[],[],[],[],[],
17422560,Albany State Technical College,['Business Management'],Associate's Degree,Associate of Science in Business Management,11.0,[],[],"['Microsoft Office Suite', 'ADP system', 'Payroll processing', 'Staffing coordination', 'Data entry', 'Receptionist duties', 'Filing and documentation', 'Scheduling', 'Recruiting', 'Employee relations', 'Human Resources policies', '401(k) administration', 'FMLA claims', ""Workers' compensation"", 'Compliance', 'Orientation processes', 'Social media initiatives', 'Accuracy in record-keeping']","['Communication', 'Teamwork', 'Attention to detail', 'Problem-solving', 'Organization', 'Time management', 'Customer service', 'Interpersonal skills']",HR Coordinator,"City, State",[],[],[],[],[],Current
32947778,University of Phoenix,['Human Resource Management'],Bachelor's,Bachelor of Arts,13.0,[],[],"['HRIS technologies', 'Database management', 'People Soft', 'HR policies and procedures', 'Project management', 'Human resource laws', 'Appointment setting', 'MS Office']","['Interpersonal skills', 'Coaching', 'Leadership', 'Conflict management', 'Training and development', 'Staff training', 'Audits', 'Negotiation', 'Budget management', 'Event planning', 'Travel coordination', 'Press release writing', 'Creative problem-solving', 'Teamwork']",HR Manager,"City, State, USA",[],['Notary Public'],[],[],[],Not specified
23914451,Pennsylvania State University,['Wildlife and Fisheries Science'],Bachelor's,Bachelor of Science,26.0,[],[],"['HRIS', 'Applicant Tracking Systems', 'EEOC Responses', 'Performance Management', 'Records Maintenance', 'Staffing', 'Recruiting', 'Training and Development', 'Online Learning', 'Project Management', 'Quick Books']","['Coaching', 'Training', 'Employment Law Knowledge', 'Employee Relations', 'Event Management', 'Team Building', 'Strategic Planning', 'Conflict Management', 'Succession Planning', 'Problem Solving', 'Self-Motivated', 'Customer Service', 'Communication', 'Mentoring']",HR Generalist,"City, State, United States","['City, State, United States']",['Senior Professional in Human Resources (SPHR)'],[],[],[],Immediate
21265194,"Webster University, University of Houston","['Counseling', 'Psychology']","Master's, Bachelor's","Master of Arts, Bachelor of Science",23.0,[],[],"['HR Consulting', 'Performance Management', 'Employee Relations', 'Compensation Management', 'Policy Interpretation', 'Presentation Facilitation', 'Project Management', 'Matrix Management', 'Change Management', 'Attendance Guidelines', 'Virtual Training', 'Recruiting', 'HR Policy Application', 'Investigation', 'Conflict Resolution', 'HRIS', 'HR Analytics']","['Coaching', 'Consultation', 'Leadership', 'Collaboration', 'Relationship Building', 'Communication', 'Facilitation', 'Problem-Solving', 'Training', 'Teamwork', 'Project Management', 'Strategic Thinking', 'Change Management']",HR Partner,"City, State, USA","['City, State, USA']",[],"['Volunteering', 'Civic Participation']","['Wells Fargo - Latino Team Member Network', 'San Antonio Human Resources Management Association', ""South Texas Children's Bereavement Center Group Facilitator"", 'CYO Sports Team Mom']",[],Immediate
51769822,University of Grenoble,"['Administration Commercial', 'Marketing Commercial English', 'Accounting']",Bachelor's,BA,30.0,"['English', 'French']",['Fluent'],"['Microsoft Words', 'Excel', 'AS400', 'Outlook', 'AS 400 payroll system']","['Time management', 'Prioritization', 'Multitasking', 'Problem-solving', 'Self-learning', 'Creativity', 'Dedication', 'Flexibility', 'Reliability', 'Attention to detail', 'Teamwork']",HR Specialist,"City, State",,,,,,
19616406,Indiana University,"['Psychology', 'Human Resources']",Certificate,Human Resources Certificate,10.0,[],[],"['HRIS', 'Payroll', 'Benefits administration', 'Employment law', 'Interviewing', 'Manager coaching', 'Staffing', 'Recruiting', 'Onboarding', 'FMLA administration', 'Training system management', 'Performance appraisals', 'Disciplinary action', 'Unemployment administration', ""Workers' compensation"", 'FAA/DOT drug screening', 'EEOC compliance', 'Database management', 'Audit reporting', 'Software installation', 'Spreadsheets', 'Event planning', 'Documentation', 'Imaging', 'Safety']","['Communication', 'Training', 'Coaching', 'Team coordination', 'Problem-solving', 'Organization', 'Attention to detail']",HR Director,"City, State",[],[],[],[],[],Not mentioned
